公司代码,公司名,公司评分
000721,西安饮食,74.5625
002685,华东重机,74.5625
002096,南岭民爆,74.5
300166,东方国信,74.5
300355,蒙草生态,74.5
600525,长园集团,74.4375
300122,智飞生物,74.4375
600270,外运发展,74.4375
002031,巨轮智能,74.4375
600284,浦东建设,74.4375
600313,农发种业,74.4375
002551,尚荣医疗,74.4375
000759,中百集团,74.4375
601012,隆基股份,74.375
000702,正虹科技,74.375
600326,西藏天路,74.375
600846,同济科技,74.375
002310,东方园林,74.375
300335,迪森股份,74.3125
000561,烽火电子,74.3125
300348,长亮科技,74.3125
002349,精华制药,74.3125
002331,皖通科技,74.3125
600880,博瑞传播,74.3125
600635,大众公用,74.3125
300034,钢研高纳,74.3125
600718,东软集团,74.25
600466,蓝光发展,74.25
601010,文峰股份,74.25
600128,弘业股份,74.25
002674,兴业科技,74.1875
600199,金种子酒,74.1875
601388,怡球资源,74.1875
300133,华策影视,74.125
002208,合肥城建,74.125
002527,新时达,74.125
002004,华邦健康,74.125
601601,中国太保,74.125
300353,东土科技,74.125
002452,长高集团,74.125
600336,澳柯玛,74.0625
002358,森源电气,74.0625
600665,天地源,74.0625
000566,海南海药,74.0625
002654,万润科技,74.0625
002202,金风科技,74.0625
002268,卫 士 通,74.0625
002195,二三四五,74.0625
300053,欧比特,74.0
002353,杰瑞股份,74.0
600216,浙江医药,74.0
600551,时代出版,73.9375
000905,厦门港务,73.9375
300042,朗科科技,73.9375
300151,昌红科技,73.9375
000823,超声电子,73.9375
600523,贵航股份,73.875
300178,腾邦国际,73.875
002457,青龙管业,73.875
300235,方直科技,73.875
300130,新国都,73.8125
000338,潍柴动力,73.8125
300095,华伍股份,73.75
300329,海伦钢琴,73.75
601999,出版传媒,73.75
600794,保税科技,73.75
000725,京东方Ａ,73.75
300165,天瑞仪器,73.75
600864,哈投股份,73.75
300079,数码科技,73.75
000587,金洲慈航,73.75
002133,广宇集团,73.75
002249,大洋电机,73.75
002409,雅克科技,73.75
000090,天健集团,73.6875
002491,通鼎互联,73.6875
002253,川大智胜,73.6875
000065,北方国际,73.6875
300248,新开普,73.6875
000826,启迪桑德,73.625
002276,万马股份,73.625
300187,永清环保,73.625
002345,潮宏基,73.625
600488,天药股份,73.625
300190,维尔利,73.625
000681,视觉中国,73.625
000421,南京公用,73.625
601007,金陵饭店,73.625
300297,蓝盾股份,73.625
600255,梦舟股份,73.5625
600559,老白干酒,73.5625
600613,神奇制药,73.5625
000404,华意压缩,73.5625
002256,兆新股份,73.5
002041,登海种业,73.5
000777,中核科技,73.5
300112,万讯自控,73.5
600634,富控互动,73.5
002380,科远股份,73.5
600983,惠而浦,73.5
300067,安诺其,73.4375
600830,香溢融通,73.4375
002666,德联集团,73.4375
000027,深圳能源,73.4375
002574,明牌珠宝,73.375
002689,远大智能,73.375
002669,康达新材,73.375
002090,金智科技,73.375
600515,海航基础,73.375
002588,史丹利,73.375
300207,欣旺达,73.3125
002370,亚太药业,73.3125
600998,九州通,73.25
600125,铁龙物流,73.25
002395,双象股份,73.25
000555,神州信息,73.25
600338,西藏珠峰,73.1875
002441,众业达,73.1875
600287,江苏舜天,73.1875
002215,诺 普 信,73.1875
601168,西部矿业,73.1875
002338,奥普光电,73.1875
600108,亚盛集团,73.1875
600894,广日股份,73.125
300210,森远股份,73.125
600370,三房巷,73.125
002567,唐人神,73.125
002079,苏州固锝,73.125
600517,置信电气,73.125
300179,四方达,73.0625
000757,浩物股份,73.0625
002252,上海莱士,73.0625
600111,北方稀土,73.0625
002339,积成电子,73.0625
600480,凌云股份,73.0
000990,诚志股份,73.0
600533,栖霞建设,72.9375
600018,上港集团,72.9375
000620,新华联,72.9375
600967,内蒙一机,72.9375
002361,神剑股份,72.875
300085,银之杰,72.875
300150,世纪瑞尔,72.875
300147,香雪制药,72.8125
600756,浪潮软件,72.8125
300290,荣科科技,72.8125
601336,新华保险,72.8125
600703,三安光电,72.8125
000552,靖远煤电,72.75
600173,卧龙地产,72.75
300316,晶盛机电,72.75
600624,复旦复华,72.75
601929,吉视传媒,72.75
601100,恒立液压,72.75
600571,信雅达,72.75
002446,盛路通信,72.75
000532,华金资本,72.6875
600960,渤海活塞,72.6875
000682,东方电子,72.6875
601179,中国西电,72.6875
603993,洛阳钼业,72.6875
300305,裕兴股份,72.6875
600796,钱江生化,72.625
002520,日发精机,72.625
600787,中储股份,72.625
002229,鸿博股份,72.625
002233,塔牌集团,72.625
600704,物产中大,72.625
000046,泛海控股,72.625
601996,丰林集团,72.625
002328,新朋股份,72.5625
600643,爱建集团,72.5625
000688,建新矿业,72.5625
000536,华映科技,72.5625
300089,文化长城,72.5625
600297,广汇汽车,72.5625
600136,当代明诚,72.5625
601766,中国中车,72.5
002568,百润股份,72.5
000048,康达尔,72.5
002425,凯撒文化,72.4375
600776,东方通信,72.375
002023,海特高新,72.375
600418,江淮汽车,72.375
000901,航天科技,72.375
300074,华平股份,72.375
600361,华联综超,72.3125
300030,阳普医疗,72.3125
600012,皖通高速,72.3125
600500,中化国际,72.25
000938,紫光股份,72.25
600257,大湖股份,72.25
300101,振芯科技,72.25
600317,营口港,72.25
600589,广东榕泰,72.25
000615,京汉股份,72.25
002681,奋达科技,72.25
000700,模塑科技,72.25
600372,中航电子,72.1875
000598,兴蓉环境,72.1875
002487,大金重工,72.1875
300168,万达信息,72.1875
600693,东百集团,72.1875
601700,风范股份,72.1875
300098,高新兴,72.1875
600300,维维股份,72.1875
002050,三花智控,72.1875
300044,赛为智能,72.125
600420,现代制药,72.125
600521,华海药业,72.125
600232,金鹰股份,72.0625
002498,汉缆股份,72.0625
601058,赛轮金宇,72.0625
000998,隆平高科,72.0625
000988,华工科技,72.0
600118,中国卫星,72.0
002237,恒邦股份,72.0
600823,世茂股份,72.0
600976,健民集团,72.0
002554,惠博普,72.0
600360,华微电子,72.0
002332,仙琚制药,72.0
600188,兖州煤业,72.0
600645,中源协和,72.0
600667,太极实业,71.9375
300064,豫金刚石,71.9375
601727,上海电气,71.9375
600851,海欣股份,71.875
600592,龙溪股份,71.875
002034,美 欣 达,71.875
600689,上海三毛,71.875
300141,和顺电气,71.8125
002302,西部建设,71.8125
300216,千山药机,71.8125
600712,南宁百货,71.8125
600288,大恒科技,71.8125
002151,北斗星通,71.8125
002663,普邦股份,71.8125
300247,乐金健康,71.8125
600748,上实发展,71.75
300300,汉鼎宇佑,71.75
000981,银亿股份,71.75
300162,雷曼股份,71.75
002350,北京科锐,71.75
300205,天喻信息,71.75
600435,北方导航,71.6875
600884,杉杉股份,71.6875
002460,赣锋锂业,71.6875
000100,TCL 集团,71.625
600602,云赛智联,71.625
300065,海兰信,71.625
600353,旭光股份,71.5625
002084,海鸥卫浴,71.5625
300096,易联众,71.5625
600272,开开实业,71.5625
